42.9968872,-96.0500872
42.9888412,-96.009023
42.9823199,-95.6844512
43.3201194,-95.1494637
43.3632015,-95.1393712
43.3919156,-95.126587
43.4231048,-95.1093752
43.4017336,-94.8437708
43.4134233,-94.829978
43.4022873,-94.8219918
43.3922866,-94.4829964
43.3860771,-93.944768
43.2481816,-93.6379199
43.2630437,-93.6336094
42.5146377,-93.3802683
42.5282673,-93.2641341
42.5199522,-93.2683403
42.5192092,-93.2800188
42.5563228,-93.0552679
42.5652612,-92.6322663
42.5374215,-92.4647988
42.5584095,-92.4553974
42.5328544,-92.4459971
42.49837,-92.4604812
42.4846582,-92.4469798
42.4700388,-92.4635893
42.5427044,-92.3384518
42.6766476,-91.911338
42.644184,-91.4027111
42.7730132,-91.1000607
